タイトル,画像URL,icontext,icontext1,著者,数量,bookliststory
ゴハンスキー,https://cf.image-cdn.k-manga.jp/cover_200/4/47989/b47989_1_200.jpg,青年漫画,ギャグ・コメディ,清野とおる,"巻完600pt
              
              お気に入り：40人",珍才マンガ家・清野とおるが、ゴハン愛をつづりにつづった！「トラウマ飯」、「１００円ローソンの干しほたるいか」など出てきたお店や食品はネットで炎上＆売り切れ続出!?
工業哀歌バレーボーイズ,https://cf.image-cdn.k-manga.jp/cover_200/10/103743/b103743_1_200.jpg,青年漫画,ギャグ・コメディ,村田ひろゆき,"巻完600pt
              
              お気に入り：53人",“女が欲しい～！”男子校で、しかも工業高校でたった一度の青春を棒に振りたかねーぞ!!　ってなワケで、油まみれの作業服にパンチ頭が妙に似合う赤木駿（あかぎ・しゅん）は、モテたいがために第２バレーボール部を作ってしまっ…
からかい上手の（元）高木さん,https://cf.image-cdn.k-manga.jp/cover_200/2/28389/b28389_1_200.jpg,少年漫画,ギャグ・コメディ,稲葉光史,"巻550pt
              
                  
                
                4.0（2件）
              
              お気に入り：728人",お母さんはからかい上手。大人気からかいラブコメ「からかい上手の高木さん」の高木さんが結婚！！？母と娘と、ときどき父？からかいホームコメディー登場！！
岡崎に捧ぐ,https://cf.image-cdn.k-manga.jp/cover_200/8/88036/b88036_1_200.jpg,青年漫画,ギャグ・コメディ,山本さほ,"巻完700pt
              
                  
                
                4.2（13件）
              
              お気に入り：354人",2014年にWEB上で公開され始められるや、各界著名人の称賛を浴びるなど瞬く間に話題を呼び、短期でページ1000万ビューを記録した人気エッセイ漫画がついに単行本化!! 作者・山本さほさんが、実際の幼馴染み・岡崎さん…
土下座で頼んでみた,https://cf.image-cdn.k-manga.jp/cover_200/14/140392/b140392_1_200.jpg,青年漫画,ギャグ・コメディ,ふなつかずき,"巻920pt
              
              お気に入り：283人",ツイッターでバズッた話題のマンガ!  断りきれない女子たちは土下座をすれば、 エッチなお願いも聞いてくれる!? 女の子たちの胸や下着が見られるお楽しみページはすべてフルカラーで掲載!!
らいか・デイズ,https://cf.image-cdn.k-manga.jp/cover_200/8/81487/b81487_1_200.jpg,青年漫画,ギャグ・コメディ,むんこ,"巻600pt
              
              お気に入り：97人",なんでもできちゃうスーパー小学生・春菜来華のちょっぴりドキドキな普通の毎日。実は○○が苦手な来華ちゃん…思わず手助けしてあげたくなっちゃう!?
そもそもウチには芝生がない,https://cf.image-cdn.k-manga.jp/cover_200/1/18363/b18363_1_200.jpg,,ギャグ・コメディ,たちばなかおる,"巻600pt
              
                  
                
                4.5（31件）
              
              お気に入り：1702人",小４、小２、年中さんの男３兄弟を育てるスミ。認知症気味な姑の面倒を見る恵子。その日暮らしの年下男と同棲中のマキ。育児、介護、独身と、それぞれが不安と不満を抱えて日々を過ごしていたある日、思いもよらぬ人生の転機が!?…
三姉妹が俺をユウワクしてくる！！,https://cf.image-cdn.k-manga.jp/cover_200/13/131698/b131698_1_200.jpg,青年漫画,ギャグ・コメディ,長谷良えりあ,"巻660pt
              
              お気に入り：45人",浪人した青年が引っ越した先は・・・精を貪る、エッチ大好き飛縁魔(ヒノエンマ)の村だった!!?※飛縁魔とは・・・男の心を惑わせ、身を滅ぼさせる淫魔。日本版のサキュバス。医者になる夢を持つ浪人生・硬三郎は、大学受験に集…
男、タッてのお願いです。（フルカラー）,https://cf.image-cdn.k-manga.jp/cover_200/12/122370/b122370_1_200.jpg,青年漫画,ギャグ・コメディ,IKEMEN　SANO,"巻180pt
              
                  
                
                3.0（2件）
              
              お気に入り：307人",「なぜだ…なぜ、タたない…！？」男のコケンに関わる大問題、勃発！下着メーカーの人気デザイナーにしてさわやかイケメン、その名は藤田桜次（おうじ）。自慢のナニで、女をとっかえひっかえ、毎晩ヤりたい放題の桜次に、まさかの…
猫奥,https://cf.image-cdn.k-manga.jp/cover_200/13/132746/b132746_1_200.jpg,青年漫画,ギャグ・コメディ,山村東,"巻610pt
              
                  
                
                5.0（4件）
              
              お気に入り：313人","江戸時代。大奥に仕える女性たちの多くは、生涯独身であった。そんな彼女たちが、持てあました時間と愛情を注いだ対象、それは――にゃんと、ネコだった!? 大奥に暮らすオンナとネコの日常を描くほのぼのショート!
     …"
君のことが大大大大大好きな100人の彼女,https://cf.image-cdn.k-manga.jp/cover_200/12/125411/b125411_1_200.jpg,青年漫画,ギャグ・コメディ,中村力斗,"巻570pt
              
                  
                
                4.8（5件）
              
              お気に入り：358人",「好き」っていいたい！　いわれたい！　中学卒業式に100回目の失恋をした愛城恋太郎は、高校でこそ初めての彼女を！と願う。そんな彼の前に現れた恋の神様が告げた未来は「高校生活で出会う“運命の人”は100人。しかし彼女…
有閑倶楽部 カラー版,https://cf.image-cdn.k-manga.jp/cover_200/11/115237/b115237_1_200.jpg,,ギャグ・コメディ,一条ゆかり,"巻661pt
              
              お気に入り：59人",【ページ数が多いビッグボリューム版！】【デジタル着色によるフルカラー版！】聖プレジデント学園の生徒会6人組…ご存じ“有閑倶楽部”。アクション担当・悠理と魅録、頭脳担当・野梨子と清四郎、お色気担当・可憐と美童。無敵で…
Sレア装備の似合う彼女,https://cf.image-cdn.k-manga.jp/cover_200/9/95435/b95435_1_200.jpg,少年漫画,ギャグ・コメディ,近江のこ,"巻完552pt
              
              お気に入り：123人",節約上手の高校生、大吾がふとしたきっかけで始めた大人気スマホゲーム『環裏グリムゼリア』。その中から、女勇者・ユリナが突如あらわれた！世界の危機を救うにはユリナを強化するしかないのだが、そのためには強い武器が必要で、…
腐男子家族,https://cf.image-cdn.k-manga.jp/cover_200/11/119864/b119864_1_200.jpg,,ギャグ・コメディ,すずり街,"巻815pt
              
                  
                
                5.0（3件）
              
              お気に入り：252人",隠れオタク隠れ腐男子な男子高校生の主人公・楓が同人誌即売会で出会ったのは…大好きなBL同人作家のチェリー先生として参加する父と弟だった!?!　腐バレどころか家族全員腐男子であることが発覚したことで逆に強まる家族の絆…
元カレが腐男子になっておりまして。,https://cf.image-cdn.k-manga.jp/cover_200/11/119760/b119760_1_200.jpg,,ギャグ・コメディ,麦芋,"巻815pt
              
                  
                
                5.0（2件）
              
              お気に入り：550人",再会した元カレが腐男子（ＢＬ好き男子）になってました。ある日、書店に立ち寄った赤土桃は、そこでＢＬ本を物色する腐男子と出会った。初の腐男子との遭遇にテンションのあがる桃だったが、よく見るとその腐男子は自分の元カレの…
SHIORI EXPERIENCE ジミなわたしとヘンなおじさん,https://cf.image-cdn.k-manga.jp/cover_200/11/119439/b119439_1_200.jpg,青年漫画,ギャグ・コメディ,長田悠幸,"巻571pt
              
                  
                
                5.0（2件）
              
              お気に入り：113人",“ジミ”な高校英語教師の本田紫織に、“ヘン”な世界一のギタリスト幽霊が取り憑いた!?　しかも身に覚えのない“契約”のせいで「27歳が終わるまでに音楽で伝説を残さなければ死ぬ」ことに。現在、27歳の誕生日を迎えたばか…
たーたん,https://cf.image-cdn.k-manga.jp/cover_200/9/96549/b96549_1_200.jpg,青年漫画,ギャグ・コメディ,西炯子,"巻420pt
              
                  
                
                3.1（20件）
              
              お気に入り：2004人",15年前、全く冴えない28歳の童貞男だった上田敦は、友人から赤ん坊を預かる。その友人は殺人を犯し刑務所に入ったのだ。赤ん坊の名は鈴。敦は鈴を娘として懸命に育てた。鈴は父を「たーたん」と呼ぶ。父は出生について娘に何も…
人にはいえないエッチの内緒話,https://cf.image-cdn.k-manga.jp/cover_200/2/24206/b24206_1_200.jpg,,ギャグ・コメディ,成見香穂,"巻600pt
              
                  
                
                2.5（2件）
              
              お気に入り：641人",恋人、夫婦、セフレに風俗など……なまなましくて恥ずかしいエッチ体験談がたっぷり！男女がのめりこんだアブノーマルエッチ体験、思わず仰天のエッチハプニング、風俗嬢とヘンなお客さんとのコントみたいなやりとりなど……、本当…
